Entry ID,Symbol,Side,Entry Date,Exit Date,Entry Price,Exit Price,Size,PnL,PnL %,Setup,Strategy,Timeframe,Outcome,Reviewed,Tags,Notes
je_33,ETH/USDT,long,2025-04-01 05:37,2025-04-01 19:37,50782.0752382565,49458.56859847306,0.1,-132.35066397834382,-2.61%,scalping,Breakout,1h,small_loss,Yes,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_34,ETH/USDT,long,2025-08-18 05:37,2025-08-20 21:37,54322.99184786528,51731.56891971177,0.1,-259.14229281535154,-4.77%,range_trading,Momentum,5m,small_loss,Yes,"scalp, swing",Market conditions were favorable. Followed the plan.
je_35,SOL/USDT,short,2025-03-19 05:37,2025-03-19 13:37,49672.91361784978,45101.156224631464,0.1,-457.17573932183154,-9.20%,reversal,Mean Reversion,5m,big_loss,Yes,"high-confidence, swing",Market conditions were favorable. Followed the plan.
je_36,ETH/USDT,long,2025-08-06 05:37,2025-08-07 12:37,46320.68247924365,45095.169034497085,0.1,-122.5513444746568,-2.65%,breakout,Mean Reversion,15m,small_loss,Yes,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_37,BTC/USDT,short,2025-09-23 05:37,2025-09-24 05:37,42396.71056375868,42582.866795977985,0.1,18.615623221930583,0.44%,other,Breakout,15m,small_win,No,"low-risk, scalp",Market conditions were favorable. Followed the plan.
je_38,ETH/USDT,short,2025-09-24 05:37,2025-09-27 02:37,43145.05171726924,43007.550309484206,0.1,-13.750140778503557,-0.32%,scalping,Mean Reversion,5m,breakeven,No,"swing, low-risk",Market conditions were favorable. Followed the plan.
je_39,BTC/USDT,short,2025-07-14 05:37,2025-07-16 15:37,58466.901907383595,53798.194527223815,0.1,-466.870738015978,-7.99%,swing,Momentum,15m,big_loss,Yes,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_40,ETH/USDT,short,2025-05-17 05:37,2025-05-19 04:37,50527.52286437812,52549.84029943149,0.1,202.23174350533665,4.00%,breakout,Breakout,5m,small_win,Yes,"scalp, low-risk",Market conditions were favorable. Followed the plan.
je_41,BTC/USDT,long,2025-09-17 05:37,2025-09-18 16:37,44383.556276978976,47679.92054579649,0.1,329.63642688175173,7.43%,breakout,Momentum,5m,big_win,Yes,"scalp, swing",Market conditions were favorable. Followed the plan.
je_42,SOL/USDT,short,2025-07-06 05:37,2025-07-07 22:37,48648.64806264111,44451.93740161189,0.1,-419.67106610292177,-8.63%,scalping,Momentum,15m,big_loss,Yes,"swing, scalp",Market conditions were favorable. Followed the plan.
je_43,ETH/USDT,short,2024-11-15 05:37,2024-11-16 10:37,53652.582608941586,51718.80854497696,0.1,-193.3774063964629,-3.60%,reversal,Breakout,1h,small_loss,No,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_44,ETH/USDT,long,2025-02-18 05:37,2025-02-20 13:37,41432.37039254833,39888.12521828027,0.1,-154.4245174268057,-3.73%,breakout,Momentum,15m,small_loss,Yes,"low-risk, high-confidence",Market conditions were favorable. Followed the plan.
je_45,BTC/USDT,long,2024-12-15 05:37,2024-12-15 08:37,41103.02715758227,39484.807682865765,0.1,-161.8219474716505,-3.94%,range_trading,Momentum,15m,small_loss,No,"swing, low-risk",Market conditions were favorable. Followed the plan.
je_46,SOL/USDT,long,2025-08-20 05:37,2025-08-22 01:37,47710.23584911137,44765.86132760397,0.1,-294.43745215074017,-6.17%,pullback,Mean Reversion,4h,big_loss,No,"low-risk, high-confidence",Market conditions were favorable. Followed the plan.
je_47,ETH/USDT,long,2025-08-15 05:37,2025-08-16 20:37,48765.804107112795,45017.71602468689,0.1,-374.80880824259077,-7.69%,reversal,Momentum,1h,big_loss,Yes,"scalp, high-confidence",Market conditions were favorable. Followed the plan.
je_48,ETH/USDT,long,2024-12-30 05:37,2024-12-31 12:37,51516.076954985314,46626.51029305153,0.1,-488.9566661933786,-9.49%,other,Momentum,5m,big_loss,No,"low-risk, high-confidence",Market conditions were favorable. Followed the plan.
je_49,SOL/USDT,long,2024-12-21 05:37,2024-12-22 11:37,58465.550408248615,60147.71370812317,0.1,168.21632998745554,2.88%,breakout,Momentum,1h,small_win,Yes,"low-risk, swing",Market conditions were favorable. Followed the plan.
je_50,SOL/USDT,short,2025-10-15 05:37,2025-10-15 20:37,51693.697158026596,48296.07807940542,0.1,-339.76190786211737,-6.57%,scalping,Breakout,1h,big_loss,Yes,"swing, high-confidence",Market conditions were favorable. Followed the plan.
demo_001,BTC/USDT,long,2025-11-04 03:37,2025-11-04 05:37,45000.0,46500.0,0.1,150.0,333.00%,breakout,M15 Breakout Strategy,15m,big_win,Yes,"breakout, high-confidence, btc",Updated notes: Great trade execution!
